"No.","Time","Source","Destination","Protocol","Length","Info"
"72","2010-06-12 14:12:02,620381","192.168.1.101","67.212.184.66","TCP","60","2301  >  80 [FIN, ACK] Seq=77 Ack=2747 Win=17520 Len=0"
"73","2010-06-12 14:12:02,620561","192.168.5.122","192.168.1.101","TCP","909","[TCP Retransmission] 80  >  2306 [PSH, ACK] Seq=1 Ack=79 Win=5840 Len=855"
"74","2010-06-12 14:12:02,622627","174.120.43.124","192.168.1.101","TCP","60","80  >  2300 [RST] Seq=1 Win=0 Len=0"
"75","2010-06-12 14:12:02,623697","192.168.1.101","69.89.31.122","HTTP","123","GET /images/nav3/05-subs-off.jpg HTTP/1.1 "
"76","2010-06-12 14:12:02,623703","192.168.1.101","69.89.31.122","TCP","60","2293  >  80 [FIN, ACK] Seq=70 Ack=1 Win=16952 Len=0"
"77","2010-06-12 14:12:02,623872","174.120.43.124","192.168.1.101","TCP","60","80  >  2300 [RST] Seq=1 Win=0 Len=0"
"78","2010-06-12 14:12:02,626125","174.120.43.124","192.168.1.101","TCP","62","80  >  2304 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"79","2010-06-12 14:12:02,626327","192.168.1.101","174.120.43.124","TCP","60","2304  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"80","2010-06-12 14:12:02,626454","192.168.1.101","174.120.43.124","HTTP","128","GET /images/hpimages/tab_lifestyle.gif HTTP/1.1 "
"81","2010-06-12 14:12:02,653359","69.163.132.48","192.168.1.101","TCP","60","80  >  2302 [ACK] Seq=1 Ack=112 Win=5840 Len=0"
"82","2010-06-12 14:12:02,660896","69.163.132.48","192.168.1.101","TCP","1514","80  >  2302 [ACK] Seq=1 Ack=112 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"83","2010-06-12 14:12:02,662640","69.163.132.48","192.168.1.101","HTTP","949","HTTP/1.1 200 OK  (GIF89a)"
"84","2010-06-12 14:12:02,665859","72.14.204.101","192.168.1.101","TCP","62","80  >  2305 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM=1"
"85","2010-06-12 14:12:02,671844","67.212.184.66","192.168.1.101","TCP","60","80  >  2298 [RST] Seq=1 Win=0 Len=0"
"86","2010-06-12 14:12:02,673093","67.212.184.66","192.168.1.101","TCP","60","80  >  2298 [RST] Seq=1 Win=0 Len=0"
"87","2010-06-12 14:12:02,675592","67.212.184.66","192.168.1.101","TCP","60","80  >  2301 [RST] Seq=2747 Win=0 Len=0"
"88","2010-06-12 14:12:02,677340","67.212.184.66","192.168.1.101","TCP","60","80  >  2301 [RST] Seq=2747 Win=0 Len=0"
"89","2010-06-12 14:12:02,678133","192.168.1.101","69.163.132.48","TCP","60","2302  >  80 [ACK] Seq=112 Ack=2356 Win=17520 Len=0"
"90","2010-06-12 14:12:02,678139","192.168.1.101","72.14.204.101","TCP","60","2305  >  80 [ACK] Seq=1 Ack=1 Win=17160 Len=0"
"91","2010-06-12 14:12:02,678448","192.168.1.101","72.14.204.101","HTTP","154","GET /fb/images/pub/feed-icon32x32.png HTTP/1.1 "
"92","2010-06-12 14:12:02,700829","174.120.43.124","192.168.1.101","TCP","60","80  >  2304 [ACK] Seq=1 Ack=75 Win=5840 Len=0"
"93","2010-06-12 14:12:02,707614","174.120.43.124","192.168.1.101","TCP","1514","80  >  2304 [ACK] Seq=1 Ack=75 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"94","2010-06-12 14:12:02,707695","174.120.43.124","192.168.1.101","HTTP","252","HTTP/1.1 200 OK  (GIF89a)"
"95","2010-06-12 14:12:02,709097","192.168.1.101","174.120.43.124","TCP","60","2304  >  80 [ACK] Seq=75 Ack=1659 Win=17520 Len=0"
"96","2010-06-12 14:12:02,714817","69.89.31.122","192.168.1.101","TCP","60","80  >  2293 [RST] Seq=1 Win=0 Len=0"
"97","2010-06-12 14:12:02,716565","69.89.31.122","192.168.1.101","TCP","60","80  >  2293 [RST] Seq=1 Win=0 Len=0"
"98","2010-06-12 14:12:02,733056","72.14.204.101","192.168.1.101","TCP","60","80  >  2305 [ACK] Seq=1 Ack=101 Win=5720 Len=0"
"99","2010-06-12 14:12:02,740051","62.140.213.243","192.168.1.101","TCP","62","80  >  2307 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"100","2010-06-12 14:12:02,740258","192.168.1.101","62.140.213.243","TCP","60","2307  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"101","2010-06-12 14:12:02,740400","192.168.1.101","62.140.213.243","HTTP","142","GET /_imgs/companies/120/icontact.gif HTTP/1.1 "
"102","2010-06-12 14:12:02,741548","62.140.213.243","192.168.1.101","TCP","62","80  >  2308 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"103","2010-06-12 14:12:02,741759","192.168.1.101","62.140.213.243","TCP","60","2308  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"104","2010-06-12 14:12:02,741882","192.168.1.101","62.140.213.243","HTTP","127","GET /_imgs/youtube.png HTTP/1.1 "
"105","2010-06-12 14:12:02,755213","72.14.204.101","192.168.1.101","TCP","1377","80  >  2305 [PSH, ACK] Seq=1 Ack=101 Win=5720 Len=1323 [TCP segment of a reassembled PDU]"
"106","2010-06-12 14:12:02,755539","72.14.204.101","192.168.1.101","HTTP","483","HTTP/1.1 200 OK  (PNG)"
"107","2010-06-12 14:12:02,756788","192.168.1.101","72.14.204.101","TCP","60","2305  >  80 [ACK] Seq=101 Ack=1753 Win=17160 Len=0"
"108","2010-06-12 14:12:02,865630","192.168.1.101","192.168.5.122","TCP","60","2306  >  80 [ACK] Seq=79 Ack=856 Win=16665 Len=0"
"109","2010-06-12 14:12:02,866469","62.140.213.243","192.168.1.101","TCP","60","80  >  2307 [ACK] Seq=1 Ack=89 Win=5840 Len=0"
"110","2010-06-12 14:12:02,868185","62.140.213.243","192.168.1.101","TCP","306","80  >  2307 [PSH, ACK] Seq=1 Ack=89 Win=5840 Len=252 [TCP segment of a reassembled PDU]"
"111","2010-06-12 14:12:02,874008","62.140.213.243","192.168.1.101","TCP","1514","80  >  2307 [ACK] Seq=253 Ack=89 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"112","2010-06-12 14:12:02,875308","192.168.1.101","62.140.213.243","TCP","60","2307  >  80 [ACK] Seq=89 Ack=1713 Win=17520 Len=0"
"113","2010-06-12 14:12:02,875678","62.140.213.243","192.168.1.101","HTTP","864","HTTP/1.1 200 OK  (GIF89a)"
"114","2010-06-12 14:12:02,875685","62.140.213.243","192.168.1.101","TCP","60","80  >  2308 [ACK] Seq=1 Ack=74 Win=5840 Len=0"
"115","2010-06-12 14:12:02,875964","62.140.213.243","192.168.1.101","TCP","305","80  >  2308 [PSH, ACK] Seq=1 Ack=74 Win=5840 Len=251 [TCP segment of a reassembled PDU]"
"116","2010-06-12 14:12:02,876497","192.168.1.101","62.140.213.243","TCP","60","2307  >  80 [ACK] Seq=89 Ack=2524 Win=16710 Len=0"
"117","2010-06-12 14:12:02,876502","192.168.1.101","62.140.213.243","TCP","60","2307  >  80 [FIN, ACK] Seq=89 Ack=2524 Win=16710 Len=0"
"118","2010-06-12 14:12:02,879624","62.140.213.243","192.168.1.101","HTTP","801","HTTP/1.1 200 OK  (PNG)"
"119","2010-06-12 14:12:02,879630","62.140.213.243","192.168.1.101","TCP","60","80  >  2308 [FIN, ACK] Seq=999 Ack=74 Win=5840 Len=0"
"120","2010-06-12 14:12:02,880391","192.168.1.101","62.140.213.243","TCP","60","2308  >  80 [ACK] Seq=74 Ack=999 Win=16522 Len=0"
"121","2010-06-12 14:12:02,880397","192.168.1.101","62.140.213.243","TCP","60","2308  >  80 [FIN, ACK] Seq=74 Ack=999 Win=16522 Len=0"
"122","2010-06-12 14:12:02,880523","192.168.1.101","62.140.213.243","TCP","60","2308  >  80 [ACK] Seq=75 Ack=1000 Win=16522 Len=0"
"123","2010-06-12 14:12:03,000887","62.140.213.243","192.168.1.101","TCP","60","80  >  2307 [ACK] Seq=2524 Ack=90 Win=5840 Len=0"
"124","2010-06-12 14:12:03,004880","62.140.213.243","192.168.1.101","TCP","60","80  >  2308 [ACK] Seq=1000 Ack=75 Win=5840 Len=0"
"125","2010-06-12 14:12:03,072558","192.168.1.101","67.212.184.66","TCP","62","2309  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"126","2010-06-12 14:12:03,072621","192.168.1.101","174.120.43.124","TCP","62","2310  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"127","2010-06-12 14:12:03,072848","192.168.1.101","69.89.31.122","HTTP","123","GET /images/nav3/05-subs-off.jpg HTTP/1.1 "
"128","2010-06-12 14:12:03,072855","192.168.1.101","69.89.31.122","TCP","60","2295  >  80 [FIN, ACK] Seq=70 Ack=1 Win=16218 Len=0"
"129","2010-06-12 14:12:03,073139","192.168.1.101","192.168.5.122","HTTP","133","GET /joomla/images/M_images/emailButton.png HTTP/1.1 "
"130","2010-06-12 14:12:03,074320","192.168.5.122","192.168.1.101","HTTP","755","HTTP/1.1 200 OK  (PNG)"
"131","2010-06-12 14:12:03,075601","192.168.5.122","192.168.1.101","TCP","755","[TCP Retransmission] 80  >  2306 [PSH, ACK] Seq=856 Ack=158 Win=5840 Len=701"
"132","2010-06-12 14:12:03,118706","192.168.1.101","69.163.132.48","HTTP","165","GET /main/wp-content/themes/mikes-lounge/images/topbar-hover.gif HTTP/1.1 "
"133","2010-06-12 14:12:03,118712","192.168.1.101","69.163.132.48","TCP","60","2294  >  80 [FIN, ACK] Seq=112 Ack=1 Win=17520 Len=0"
"134","2010-06-12 14:12:03,118925","192.168.1.101","69.163.132.48","HTTP","165","GET /main/wp-content/themes/mikes-lounge/images/topbar-hover.gif HTTP/1.1 "
"135","2010-06-12 14:12:03,118937","192.168.1.101","212.159.9.56","TCP","62","2311  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"136","2010-06-12 14:12:03,122052","67.212.184.66","192.168.1.101","TCP","62","80  >  2309 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"137","2010-06-12 14:12:03,122267","192.168.1.101","67.212.184.66","TCP","60","2309  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"138","2010-06-12 14:12:03,122412","192.168.1.101","67.212.184.66","HTTP","130","GET /themes/modern_silver/img/pixel.gif HTTP/1.1 "
"139","2010-06-12 14:12:03,122535","192.168.1.101","69.89.31.122","TCP","62","2312  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"140","2010-06-12 14:12:03,138538","174.120.43.124","192.168.1.101","TCP","62","80  >  2310 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"141","2010-06-12 14:12:03,146865","192.168.1.101","174.120.43.124","TCP","60","2310  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"142","2010-06-12 14:12:03,146988","192.168.1.101","174.120.43.124","HTTP","123","GET /images/hpimages/tab_home.gif HTTP/1.1 "
"143","2010-06-12 14:12:03,161036","69.89.31.122","192.168.1.101","TCP","60","80  >  2295 [RST] Seq=1 Win=0 Len=0"
"144","2010-06-12 14:12:03,163531","69.89.31.122","192.168.1.101","TCP","60","80  >  2295 [RST] Seq=1 Win=0 Len=0"
"145","2010-06-12 14:12:03,178231","192.168.1.101","174.120.43.124","HTTP","113","GET /refer_a_friend.php HTTP/1.1 "
"146","2010-06-12 14:12:03,180019","67.212.184.66","192.168.1.101","TCP","60","80  >  2309 [ACK] Seq=1 Ack=77 Win=5840 Len=0"
"147","2010-06-12 14:12:03,181716","67.212.184.66","192.168.1.101","HTTP","282","HTTP/1.1 200 OK  (GIF89a)"
"148","2010-06-12 14:12:03,193742","192.168.1.101","192.168.5.122","TCP","60","2306  >  80 [ACK] Seq=158 Ack=1557 Win=17520 Len=0"
"149","2010-06-12 14:12:03,213500","174.120.43.124","192.168.1.101","TCP","60","80  >  2310 [ACK] Seq=1 Ack=70 Win=5840 Len=0"
"150","2010-06-12 14:12:03,220039","174.120.43.124","192.168.1.101","TCP","1514","80  >  2310 [ACK] Seq=1 Ack=70 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"151","2010-06-12 14:12:03,220056","174.120.43.124","192.168.1.101","HTTP","209","HTTP/1.1 200 OK  (GIF89a)"
"152","2010-06-12 14:12:03,220125","69.89.31.122","192.168.1.101","TCP","62","80  >  2312 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"153","2010-06-12 14:12:03,220243","69.163.132.48","192.168.1.101","TCP","60","80  >  2294 [RST] Seq=1 Win=0 Len=0"
"154","2010-06-12 14:12:03,220249","69.163.132.48","192.168.1.101","TCP","60","80  >  2294 [RST] Seq=1 Win=0 Len=0"
"155","2010-06-12 14:12:03,221490","192.168.1.101","174.120.43.124","TCP","60","2310  >  80 [ACK] Seq=70 Ack=1616 Win=17520 Len=0"
"156","2010-06-12 14:12:03,221496","192.168.1.101","69.89.31.122","TCP","60","2312  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"157","2010-06-12 14:12:03,221747","192.168.1.101","69.89.31.122","HTTP","122","GET /images/common3/comment.gif HTTP/1.1 "
"158","2010-06-12 14:12:03,221890","192.168.1.101","174.120.43.124","HTTP","132","GET /images/hpimages/tab_entertainment.gif HTTP/1.1 "
"159","2010-06-12 14:12:03,229323","69.163.132.48","192.168.1.101","HTTP","1277","HTTP/1.1 200 OK  (GIF89a)"
"160","2010-06-12 14:12:03,230757","192.168.1.101","72.14.204.101","HTTP","130","GET /fb/images/pub/feed-icon32x32.png HTTP/1.1 "
"161","2010-06-12 14:12:03,255474","212.159.9.56","192.168.1.101","TCP","62","80  >  2311 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"162","2010-06-12 14:12:03,255680","192.168.1.101","212.159.9.56","TCP","60","2311  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"163","2010-06-12 14:12:03,255807","192.168.1.101","212.159.9.56","HTTP","128","GET /images/internetWatchButton.gif HTTP/1.1 "
"164","2010-06-12 14:12:03,287938","174.120.43.124","192.168.1.101","TCP","60","80  >  2304 [ACK] Seq=1659 Ack=134 Win=5840 Len=0"
"165","2010-06-12 14:12:03,288222","192.168.1.101","174.120.43.124","HTTP","130","GET /images/hpimages/tab_more_topics.gif HTTP/1.1 "
"166","2010-06-12 14:12:03,303297","192.168.1.101","62.140.213.243","TCP","62","2313  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"167","2010-06-12 14:12:03,303479","192.168.1.101","62.140.213.243","TCP","62","2314  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"168","2010-06-12 14:12:03,304483","174.120.43.124","192.168.1.101","TCP","1514","80  >  2310 [ACK] Seq=1616 Ack=148 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"169","2010-06-12 14:12:03,305691","174.120.43.124","192.168.1.101","HTTP","622","HTTP/1.1 200 OK  (GIF89a)"
"170","2010-06-12 14:12:03,306313","192.168.1.101","174.120.43.124","TCP","60","2310  >  80 [ACK] Seq=148 Ack=3644 Win=17520 Len=0"
"171","2010-06-12 14:12:03,306675","192.168.1.101","174.120.43.124","HTTP","127","GET /images/hpimages/tab_politics.gif HTTP/1.1 "
"172","2010-06-12 14:12:03,309859","72.14.204.101","192.168.1.101","TCP","1378","80  >  2305 [PSH, ACK] Seq=1753 Ack=177 Win=5720 Len=1324 [TCP segment of a reassembled PDU]"
"173","2010-06-12 14:12:03,310187","72.14.204.101","192.168.1.101","HTTP","482","HTTP/1.1 200 OK  (PNG)"
"174","2010-06-12 14:12:03,311434","192.168.1.101","72.14.204.101","TCP","60","2305  >  80 [ACK] Seq=177 Ack=3505 Win=17160 Len=0"
"175","2010-06-12 14:12:03,311778","192.168.1.101","69.163.132.48","HTTP","174","GET /main/wp-content/themes/mikes-lounge/images/entry-title-backright.gif HTTP/1.1 "
