"No.","Time","Source","Source Port","Destination","Protocol","Destination Port","Length","Info"
"14","2010-06-12 19:30:20,510585","192.168.2.110","3284","12.129.19.135","TCP","80","60","3284  >  80 [ACK] Seq=2 Ack=2 Win=64860 Len=0"
"15","2010-06-12 19:30:22,135782","192.168.4.119","2616","192.168.5.122","TCP","110","62","2616  >  110 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"16","2010-06-12 19:30:22,136109","192.168.5.122","110","192.168.4.119","TCP","2616","62","110  >  2616 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"17","2010-06-12 19:30:22,136298","192.168.5.122","110","192.168.4.119","TCP","2616","62","[TCP Out-Of-Order] 110  >  2616 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"18","2010-06-12 19:30:22,136555","192.168.4.119","2616","192.168.5.122","TCP","110","60","2616  >  110 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"19","2010-06-12 19:30:22,136982","192.168.5.122","110","192.168.4.119","POP","2616","74","S: +OK Dovecot ready."
"20","2010-06-12 19:30:22,137173","192.168.5.122","110","192.168.4.119","TCP","2616","74","[TCP Retransmission] 110  >  2616 [PSH, ACK] Seq=1 Ack=1 Win=5840 Len=20"
"21","2010-06-12 19:30:22,137618","192.168.4.119","2616","192.168.5.122","POP","110","67","C: USER user19"
"22","2010-06-12 19:30:22,137974","192.168.5.122","110","192.168.4.119","TCP","2616","60","110  >  2616 [ACK] Seq=21 Ack=14 Win=5840 Len=0"
"23","2010-06-12 19:30:22,137980","192.168.5.122","110","192.168.4.119","POP","2616","60","S: +OK"
"24","2010-06-12 19:30:22,138126","192.168.5.122","110","192.168.4.119","TCP","2616","60","110  >  2616 [ACK] Seq=21 Ack=14 Win=5840 Len=0"
"25","2010-06-12 19:30:22,138132","192.168.5.122","110","192.168.4.119","TCP","2616","60","[TCP Retransmission] 110  >  2616 [PSH, ACK] Seq=21 Ack=14 Win=5840 Len=5"
"26","2010-06-12 19:30:22,138582","192.168.4.119","2616","192.168.5.122","POP","110","70","C: PASS nsluser19"
"27","2010-06-12 19:30:22,148537","192.168.5.122","110","192.168.4.119","POP","2616","70","S: +OK Logged in."
"28","2010-06-12 19:30:22,148703","192.168.5.122","110","192.168.4.119","TCP","2616","70","[TCP Retransmission] 110  >  2616 [PSH, ACK] Seq=26 Ack=30 Win=5840 Len=16"
"29","2010-06-12 19:30:22,149261","192.168.4.119","2616","192.168.5.122","POP","110","60","C: STAT"
"30","2010-06-12 19:30:22,149636","192.168.5.122","110","192.168.4.119","POP","2616","63","S: +OK 0 0"
"31","2010-06-12 19:30:22,149793","192.168.5.122","110","192.168.4.119","TCP","2616","63","[TCP Retransmission] 110  >  2616 [PSH, ACK] Seq=42 Ack=36 Win=5840 Len=9"
"32","2010-06-12 19:30:22,150357","192.168.4.119","2616","192.168.5.122","POP","110","60","C: QUIT"
"33","2010-06-12 19:30:22,150872","192.168.5.122","110","192.168.4.119","POP","2616","72","S: +OK Logging out."
"34","2010-06-12 19:30:22,151045","192.168.5.122","110","192.168.4.119","TCP","2616","72","[TCP Out-Of-Order] 110  >  2616 [FIN, PSH, ACK] Seq=51 Ack=42 Win=5840 Len=18"
"35","2010-06-12 19:30:22,151271","192.168.4.119","2616","192.168.5.122","TCP","110","60","2616  >  110 [ACK] Seq=42 Ack=70 Win=17452 Len=0"
"36","2010-06-12 19:30:22,151457","192.168.4.119","2616","192.168.5.122","TCP","110","60","2616  >  110 [FIN, ACK] Seq=42 Ack=70 Win=17452 Len=0"
"37","2010-06-12 19:30:22,151869","192.168.5.122","110","192.168.4.119","TCP","2616","60","110  >  2616 [ACK] Seq=70 Ack=43 Win=5840 Len=0"
"38","2010-06-12 19:30:22,152013","192.168.5.122","110","192.168.4.119","TCP","2616","60","[TCP Dup ACK 37#1] 110  >  2616 [ACK] Seq=70 Ack=43 Win=5840 Len=0"
"39","2010-06-12 19:30:29,249492","fe80::5c29:ff4:d3e7:b80d","546","ff02::1:2","DHCPv6","547","151","Solicit XID: 0x3f9fbd CID: 00010001138a0adb000d6096ae5c "
"40","2010-06-12 19:30:30,239932","fe80::5c29:ff4:d3e7:b80d","546","ff02::1:2","DHCPv6","547","151","Solicit XID: 0x3f9fbd CID: 00010001138a0adb000d6096ae5c "
"41","2010-06-12 19:30:30,942630","192.168.2.113","2950","216.8.179.23","TCP","80","60","[TCP Retransmission] 2950  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64860 Len=0"
"42","2010-06-12 19:30:32,239848","fe80::5c29:ff4:d3e7:b80d","546","ff02::1:2","DHCPv6","547","151","Solicit XID: 0x3f9fbd CID: 00010001138a0adb000d6096ae5c "
"43","2010-06-12 19:30:36,239759","fe80::5c29:ff4:d3e7:b80d","546","ff02::1:2","DHCPv6","547","151","Solicit XID: 0x3f9fbd CID: 00010001138a0adb000d6096ae5c "
"44","2010-06-12 19:30:40,305060","192.168.2.113","3043","192.168.5.122","DNS","53","76","Standard query 0x132e A www.bugzilla.org"
"45","2010-06-12 19:30:40,305083","192.168.2.113","3031","192.168.5.122","DNS","53","70","Standard query 0x132f A asiaco.com"
"46","2010-06-12 19:30:40,305638","192.168.5.122","26510","198.164.30.2","DNS","53","81","Standard query 0x2ae1 A asiaco.com OPT"
"47","2010-06-12 19:30:40,305670","192.168.5.122","24745","198.164.30.2","DNS","53","87","Standard query 0xc437 A www.bugzilla.org OPT"
"48","2010-06-12 19:30:40,378700","198.164.30.2","53","192.168.5.122","DNS","26510","134","Standard query response 0x2ae1 A asiaco.com SOA ns5.dnswar.com OPT"
"49","2010-06-12 19:30:40,379120","192.168.5.122","53","192.168.2.113","DNS","3031","123","Standard query response 0x132f A asiaco.com SOA ns5.dnswar.com"
"50","2010-06-12 19:30:40,379380","192.168.5.122","53","192.168.2.113","DNS","3031","123","Standard query response 0x132f A asiaco.com SOA ns5.dnswar.com"
"51","2010-06-12 19:30:40,379696","192.168.2.113","3031","192.168.5.122","DNS","53","82","Standard query 0x1330 A asiaco.com.testbed.lan"
"52","2010-06-12 19:30:40,380146","192.168.5.122","53","192.168.2.113","DNS","3031","132","Standard query response 0x1330 No such name A asiaco.com.testbed.lan SOA ns.testbed.lan"
"53","2010-06-12 19:30:40,380414","192.168.5.122","53","192.168.2.113","DNS","3031","132","Standard query response 0x1330 No such name A asiaco.com.testbed.lan SOA ns.testbed.lan"
"54","2010-06-12 19:30:40,380804","192.168.2.113","137","192.168.2.255","NBNS","137","92","Name query NB ASIACO.COM<00>"
"55","2010-06-12 19:30:40,505948","198.164.30.2","53","192.168.5.122","DNS","24745","193","Standard query response 0xc437 A www.bugzilla.org CNAME www-bugzilla-org.glb.mozilla.net A 63.245.209.22 NS ns4-glb.mozilla.net NS ns1-glb.mozilla.net OPT"
"56","2010-06-12 19:30:40,506480","192.168.5.122","28337","198.164.30.2","DNS","53","103","Standard query 0x8f79 A www-bugzilla-org.glb.mozilla.net OPT"
"57","2010-06-12 19:30:40,516213","198.164.30.2","53","192.168.5.122","DNS","28337","163","Standard query response 0x8f79 A www-bugzilla-org.glb.mozilla.net A 63.245.209.22 NS ns4-glb.mozilla.net NS ns1-glb.mozilla.net OPT"
"58","2010-06-12 19:30:40,516756","192.168.5.122","53","192.168.2.113","DNS","3043","182","Standard query response 0x132e A www.bugzilla.org CNAME www-bugzilla-org.glb.mozilla.net A 63.245.209.22 NS ns4-glb.mozilla.net NS ns1-glb.mozilla.net"
"59","2010-06-12 19:30:40,517109","192.168.5.122","53","192.168.2.113","DNS","3043","182","Standard query response 0x132e A www.bugzilla.org CNAME www-bugzilla-org.glb.mozilla.net A 63.245.209.22 NS ns4-glb.mozilla.net NS ns1-glb.mozilla.net"
"60","2010-06-12 19:30:40,517831","192.168.2.113","2958","63.245.209.22","TCP","80","62","2958  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"61","2010-06-12 19:30:40,615987","63.245.209.22","80","192.168.2.113","TCP","2958","60","80  >  2958 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"62","2010-06-12 19:30:40,616165","192.168.2.113","2958","63.245.209.22","TCP","80","60","2958  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"63","2010-06-12 19:30:40,616385","192.168.2.113","2958","63.245.209.22","HTTP","80","151","GET /docs/3.4/en/html/reporting.html HTTP/1.1 "
"64","2010-06-12 19:30:40,724953","63.245.209.22","80","192.168.2.113","TCP","2958","1514","80  >  2958 [ACK] Seq=1 Ack=98 Win=45216 Len=1460 [TCP segment of a reassembled PDU]"
"65","2010-06-12 19:30:40,728696","63.245.209.22","80","192.168.2.113","TCP","2958","1514","80  >  2958 [ACK] Seq=1461 Ack=98 Win=45216 Len=1460 [TCP segment of a reassembled PDU]"
"66","2010-06-12 19:30:40,729917","192.168.2.113","2958","63.245.209.22","TCP","80","60","2958  >  80 [ACK] Seq=98 Ack=2921 Win=64240 Len=0"
"67","2010-06-12 19:30:40,732444","63.245.209.22","80","192.168.2.113","TCP","2958","1514","80  >  2958 [ACK] Seq=2921 Ack=98 Win=45216 Len=1460 [TCP segment of a reassembled PDU]"
"68","2010-06-12 19:30:40,733731","192.168.2.113","2958","63.245.209.22","TCP","80","60","2958  >  80 [ACK] Seq=98 Ack=4381 Win=64240 Len=0"
"69","2010-06-12 19:30:40,737191","63.245.209.22","80","192.168.2.113","TCP","2958","1514","80  >  2958 [ACK] Seq=4381 Ack=98 Win=45216 Len=1460 [TCP segment of a reassembled PDU]"
"70","2010-06-12 19:30:40,740438","63.245.209.22","80","192.168.2.113","TCP","2958","1514","80  >  2958 [ACK] Seq=5841 Ack=98 Win=45216 Len=1460 [TCP segment of a reassembled PDU]"
"71","2010-06-12 19:30:40,741655","192.168.2.113","2958","63.245.209.22","TCP","80","60","2958  >  80 [ACK] Seq=98 Ack=7301 Win=64240 Len=0"
"72","2010-06-12 19:30:40,743153","63.245.209.22","80","192.168.2.113","HTTP","2958","1195","HTTP/1.1 200 OK  (text/html)"
"73","2010-06-12 19:30:40,895256","192.168.2.113","2958","63.245.209.22","TCP","80","60","2958  >  80 [ACK] Seq=98 Ack=8442 Win=63099 Len=0"
"74","2010-06-12 19:30:41,129672","192.168.2.113","137","192.168.2.255","NBNS","137","92","Name query NB ASIACO.COM<00>"
"75","2010-06-12 19:30:41,879609","192.168.2.113","137","192.168.2.255","NBNS","137","92","Name query NB ASIACO.COM<00>"
"76","2010-06-12 19:30:44,239625","fe80::5c29:ff4:d3e7:b80d","546","ff02::1:2","DHCPv6","547","151","Solicit XID: 0x3f9fbd CID: 00010001138a0adb000d6096ae5c "
"77","2010-06-12 19:30:47,455504","192.168.2.112","2528","192.168.5.122","TCP","110","62","2528  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"78","2010-06-12 19:30:47,455916","192.168.5.122","110","192.168.2.112","TCP","2528","62","110  >  2528 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"79","2010-06-12 19:30:47,456094","192.168.5.122","110","192.168.2.112","TCP","2528","62","[TCP Out-Of-Order] 110  >  2528 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"80","2010-06-12 19:30:47,456282","192.168.2.112","2528","192.168.5.122","TCP","110","60","2528  >  110 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"81","2010-06-12 19:30:47,456700","192.168.5.122","110","192.168.2.112","POP","2528","74","S: +OK Dovecot ready."
"82","2010-06-12 19:30:47,456887","192.168.5.122","110","192.168.2.112","TCP","2528","74","[TCP Retransmission] 110  >  2528 [PSH, ACK] Seq=1 Ack=1 Win=5840 Len=20"
"83","2010-06-12 19:30:47,457180","192.168.2.112","2528","192.168.5.122","POP","110","67","C: USER user12"
"84","2010-06-12 19:30:47,457528","192.168.5.122","110","192.168.2.112","TCP","2528","60","110  >  2528 [ACK] Seq=21 Ack=14 Win=5840 Len=0"
"85","2010-06-12 19:30:47,457534","192.168.5.122","110","192.168.2.112","POP","2528","60","S: +OK"
"86","2010-06-12 19:30:47,457681","192.168.5.122","110","192.168.2.112","TCP","2528","60","110  >  2528 [ACK] Seq=21 Ack=14 Win=5840 Len=0"
"87","2010-06-12 19:30:47,457687","192.168.5.122","110","192.168.2.112","TCP","2528","60","[TCP Retransmission] 110  >  2528 [PSH, ACK] Seq=21 Ack=14 Win=5840 Len=5"
"88","2010-06-12 19:30:47,458015","192.168.2.112","2528","192.168.5.122","POP","110","70","C: PASS nsluser12"
"89","2010-06-12 19:30:47,468152","192.168.5.122","110","192.168.2.112","POP","2528","70","S: +OK Logged in."
"90","2010-06-12 19:30:47,468341","192.168.5.122","110","192.168.2.112","TCP","2528","70","[TCP Retransmission] 110  >  2528 [PSH, ACK] Seq=26 Ack=30 Win=5840 Len=16"
"91","2010-06-12 19:30:47,468612","192.168.2.112","2528","192.168.5.122","POP","110","60","C: STAT"
"92","2010-06-12 19:30:47,468984","192.168.5.122","110","192.168.2.112","POP","2528","63","S: +OK 0 0"
"93","2010-06-12 19:30:47,469123","192.168.5.122","110","192.168.2.112","TCP","2528","63","[TCP Retransmission] 110  >  2528 [PSH, ACK] Seq=42 Ack=36 Win=5840 Len=9"
"94","2010-06-12 19:30:47,469460","192.168.2.112","2528","192.168.5.122","POP","110","60","C: QUIT"
"95","2010-06-12 19:30:47,469952","192.168.5.122","110","192.168.2.112","POP","2528","72","S: +OK Logging out."
"96","2010-06-12 19:30:47,470129","192.168.5.122","110","192.168.2.112","TCP","2528","72","[TCP Out-Of-Order] 110  >  2528 [FIN, PSH, ACK] Seq=51 Ack=42 Win=5840 Len=18"
"97","2010-06-12 19:30:47,470313","192.168.2.112","2528","192.168.5.122","TCP","110","60","2528  >  110 [ACK] Seq=42 Ack=70 Win=64172 Len=0"
"98","2010-06-12 19:30:47,470367","192.168.2.112","2528","192.168.5.122","TCP","110","60","2528  >  110 [FIN, ACK] Seq=42 Ack=70 Win=64172 Len=0"
"99","2010-06-12 19:30:47,470664","192.168.5.122","110","192.168.2.112","TCP","2528","60","110  >  2528 [ACK] Seq=70 Ack=43 Win=5840 Len=0"
"100","2010-06-12 19:30:47,470816","192.168.5.122","110","192.168.2.112","TCP","2528","60","[TCP Dup ACK 99#1] 110  >  2528 [ACK] Seq=70 Ack=43 Win=5840 Len=0"
"101","2010-06-12 19:30:52,196166","192.168.5.122","143","192.168.3.117","IMAP","2354","71","Response: * OK Still here"
"102","2010-06-12 19:30:52,196367","192.168.5.122","143","192.168.3.117","TCP","2354","71","[TCP Retransmission] 143  >  2354 [PSH, ACK] Seq=1 Ack=1 Win=8576 Len=17"
"103","2010-06-12 19:30:52,392076","192.168.3.117","2354","192.168.5.122","TCP","143","60","2354  >  143 [ACK] Seq=1 Ack=18 Win=16942 Len=0"
"104","2010-06-12 19:30:52,453282","3Com_72:ab:55","","Alcatel-_87:f5:94","ARP","","60","Who has 192.168.5.1? Tell 192.168.5.124"
"105","2010-06-12 19:30:55,739357","192.168.1.101","2797","192.168.5.122","DNS","53","74","Standard query 0x2782 A news.bbc.co.uk"
"106","2010-06-12 19:30:55,739913","192.168.5.122","36158","198.164.30.2","DNS","53","85","Standard query 0x14df A news.bbc.co.uk OPT"
"107","2010-06-12 19:30:55,973778","198.164.30.2","53","192.168.5.122","DNS","36158","210","Standard query response 0x14df A news.bbc.co.uk CNAME newswww.bbc.net.uk A 212.58.226.139 NS ns0.rbsov.bbc.co.uk NS ns0.thdo.bbc.co.uk A 212.58.224.20 A 212.58.227.47 OPT"
"108","2010-06-12 19:30:55,974415","192.168.5.122","18347","198.164.30.2","DNS","53","89","Standard query 0xe17a A newswww.bbc.net.uk OPT"
"109","2010-06-12 19:30:55,984585","198.164.30.2","53","192.168.5.122","DNS","18347","191","Standard query response 0xe17a A newswww.bbc.net.uk A 212.58.226.139 NS ns0.rbsov.bbc.co.uk NS ns0.thdo.bbc.co.uk A 212.58.224.20 A 212.58.227.47 OPT"
"110","2010-06-12 19:30:55,985148","192.168.5.122","53","192.168.1.101","DNS","2797","199","Standard query response 0x2782 A news.bbc.co.uk CNAME newswww.bbc.net.uk A 212.58.226.139 NS ns0.rbsov.bbc.co.uk NS ns0.thdo.bbc.co.uk A 212.58.224.20 A 212.58.227.47"
"111","2010-06-12 19:30:55,985529","192.168.5.122","53","192.168.1.101","DNS","2797","199","Standard query response 0x2782 A news.bbc.co.uk CNAME newswww.bbc.net.uk A 212.58.226.139 NS ns0.rbsov.bbc.co.uk NS ns0.thdo.bbc.co.uk A 212.58.224.20 A 212.58.227.47"
"112","2010-06-12 19:30:55,986239","192.168.1.101","4517","212.58.226.139","TCP","80","62","4517  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"113","2010-06-12 19:30:56,107454","212.58.226.139","80","192.168.1.101","TCP","4517","62","80  >  4517 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"114","2010-06-12 19:30:56,107668","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"115","2010-06-12 19:30:56,107857","192.168.1.101","4517","212.58.226.139","HTTP","80","162","GET /news/business/market_data/stockmarket/12122/ HTTP/1.1 "
"116","2010-06-12 19:30:56,232374","212.58.226.139","80","192.168.1.101","TCP","4517","60","80  >  4517 [ACK] Seq=1 Ack=109 Win=5840 Len=0"
"117","2010-06-12 19:30:56,764103","212.58.226.139","80","192.168.1.101","TCP","4517","690","80  >  4517 [PSH, ACK] Seq=1 Ack=109 Win=5840 Len=636 [TCP segment of a reassembled PDU]"
"118","2010-06-12 19:30:56,771562","212.58.226.139","80","192.168.1.101","TCP","4517","1502","80  >  4517 [PSH, ACK] Seq=637 Ack=109 Win=5840 Len=1448 [TCP segment of a reassembled PDU]"
"119","2010-06-12 19:30:56,772862","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=2085 Win=17520 Len=0"
"120","2010-06-12 19:30:56,900245","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=2085 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"121","2010-06-12 19:30:56,904489","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=3545 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"122","2010-06-12 19:30:56,905787","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=5005 Win=17520 Len=0"
"123","2010-06-12 19:30:56,908485","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=5005 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"124","2010-06-12 19:30:57,034175","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=6465 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"125","2010-06-12 19:30:57,035472","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=7925 Win=17520 Len=0"
"126","2010-06-12 19:30:57,038148","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=7925 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"127","2010-06-12 19:30:57,042150","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=9385 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"128","2010-06-12 19:30:57,043452","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=10845 Win=16060 Len=0"
"129","2010-06-12 19:30:57,164327","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=10845 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"130","2010-06-12 19:30:57,168322","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=12305 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"131","2010-06-12 19:30:57,169617","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=13765 Win=13140 Len=0"
"132","2010-06-12 19:30:57,172319","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=13765 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"133","2010-06-12 19:30:57,176318","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=15225 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"134","2010-06-12 19:30:57,177612","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=16685 Win=10220 Len=0"
"135","2010-06-12 19:30:57,180063","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=16685 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"136","2010-06-12 19:30:57,184063","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [PSH, ACK] Seq=18145 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"137","2010-06-12 19:30:57,185359","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=19605 Win=7300 Len=0"
"138","2010-06-12 19:30:57,298253","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=19605 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"139","2010-06-12 19:30:57,301991","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=21065 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"140","2010-06-12 19:30:57,303289","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=22525 Win=4380 Len=0"
"141","2010-06-12 19:30:57,305987","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=22525 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"142","2010-06-12 19:30:57,309985","212.58.226.139","80","192.168.1.101","TCP","4517","1514","80  >  4517 [ACK] Seq=23985 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"143","2010-06-12 19:30:57,311277","192.168.1.101","4517","212.58.226.139","TCP","80","60","4517  >  80 [ACK] Seq=109 Ack=25445 Win=1460 Len=0"
"144","2010-06-12 19:30:57,313982","212.58.226.139","80","192.168.1.101","TCP","4517","1514","[TCP Window Full] 80  >  4517 [ACK] Seq=25445 Ack=109 Win=5840 Len=1460 [TCP segment of a reassembled PDU]"
"145","2010-06-12 19:30:57,363922","192.168.1.101","4517","212.58.226.139","TCP","80","60","[TCP ZeroWindow] 4517  >  80 [ACK] Seq=109 Ack=26905 Win=0 Len=0"
"146","2010-06-12 19:30:57,625029","192.168.5.122","143","192.168.1.103","IMAP","1090","71","Response: * OK Still here"
"147","2010-06-12 19:30:57,625202","192.168.5.122","143","192.168.1.103","TCP","1090","71","[TCP Retransmission] 143  >  1090 [PSH, ACK] Seq=1 Ack=1 Win=7504 Len=17"
"148","2010-06-12 19:30:57,818662","192.168.1.103","1090","192.168.5.122","TCP","143","60","1090  >  143 [ACK] Seq=1 Ack=18 Win=16908 Len=0"
"149","2010-06-12 19:30:57,818678","Ibm_bb:ce:df","","Broadcast","ARP","","60","Who has 192.168.1.1? Tell 192.168.1.103"
"150","2010-06-12 19:30:57,885066","212.58.226.139","80","192.168.1.101","TCP","4517","60","[TCP Keep-Alive] 80  >  4517 [ACK] Seq=26904 Ack=109 Win=5840 Len=0"
"151","2010-06-12 19:30:57,885284","192.168.1.101","4517","212.58.226.139","TCP","80","60","[TCP ZeroWindow] 4517  >  80 [ACK] Seq=109 Ack=26905 Win=0 Len=0"
"152","2010-06-12 19:30:58,806785","212.58.226.139","80","192.168.1.101","TCP","4517","60","[TCP Keep-Alive] 80  >  4517 [ACK] Seq=26904 Ack=109 Win=5840 Len=0"
"153","2010-06-12 19:30:58,806994","192.168.1.101","4517","212.58.226.139","TCP","80","60","[TCP ZeroWindow] 4517  >  80 [ACK] Seq=109 Ack=26905 Win=0 Len=0"
"154","2010-06-12 19:31:00,239213","fe80::5c29:ff4:d3e7:b80d","546","ff02::1:2","DHCPv6","547","151","Solicit XID: 0x3f9fbd CID: 00010001138a0adb000d6096ae5c "
"155","2010-06-12 19:31:00,528923","212.58.226.139","80","192.168.1.101","TCP","4517","60","[TCP Keep-Alive] 80  >  4517 [ACK] Seq=26904 Ack=109 Win=5840 Len=0"
"156","2010-06-12 19:31:00,529129","192.168.1.101","4517","212.58.226.139","TCP","80","60","[TCP ZeroWindow] 4517  >  80 [ACK] Seq=109 Ack=26905 Win=0 Len=0"
"157","2010-06-12 19:31:03,557942","192.168.4.119","138","192.168.4.255","BROWSER","138","252","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"158","2010-06-12 19:31:03,851337","212.58.226.139","80","192.168.1.101","TCP","4517","60","[TCP Keep-Alive] 80  >  4517 [ACK] Seq=26904 Ack=109 Win=5840 Len=0"
"159","2010-06-12 19:31:03,851553","192.168.1.101","4517","212.58.226.139","TCP","80","60","[TCP ZeroWindow] 4517  >  80 [ACK] Seq=109 Ack=26905 Win=0 Len=0"
